,scores,steps
0,-10,4025
1,100,4033
2,-10,4074
3,-10,4201
4,-10,4245
5,100,4273
6,-10,4333
7,-10,4633
8,-10,4933
9,100,4957
10,100,5011
11,100,5012
12,100,5221
13,-10,5521
14,100,5564
15,100,5577
16,-10,5877
17,100,6020
18,100,6055
19,100,6073
20,100,6141
21,100,6178
22,100,6194
23,-10,6425
24,-10,6453
25,100,6458
26,100,6619
27,-10,6681
28,100,6690
29,100,6719
30,100,6728
31,100,6747
32,100,6764
33,100,6791
34,100,6814
35,100,6820
36,100,6821
37,100,6885
38,-10,6904
39,100,6906
40,100,6956
41,100,6968
42,-10,7268
43,-10,7568
44,100,7569
45,-10,7869
46,100,7876
47,100,7886
48,100,7896
49,100,7907
50,100,7908
51,100,7911
52,100,7924
53,100,7925
54,100,7941
55,-10,8241
56,100,8251
57,-10,8551
58,100,8557
59,100,8558
60,100,8559
61,100,8570
62,100,8582
63,100,8590
64,100,8596
65,100,8602
66,100,8614
67,100,8622
68,100,8631
69,100,8655
70,100,8669
71,100,8678
72,100,8682
73,100,8694
74,100,8704
75,-10,9004
76,100,9009
77,100,9023
78,100,9036
79,100,9045
80,100,9057
81,100,9066
82,100,9078
83,100,9096
84,100,9108
85,100,9120
86,100,9129
87,100,9132
88,100,9148
89,100,9161
90,100,9171
91,100,9185
92,100,9198
93,100,9212
94,100,9284
95,100,9294
96,100,9303
97,-10,9603
98,100,9615
99,100,9624
100,100,9637
101,100,9648
102,100,9658
103,100,9659
104,-10,9959
105,100,9964
106,100,9976
107,100,9992
108,100,10002
109,100,10006
110,100,10022
111,100,10039
112,100,10050
113,100,10062
114,100,10180
115,100,10189
116,100,10223
117,-10,10523
118,100,10527
119,100,10541
120,100,10553
121,100,10562
122,100,10572
123,100,10598
124,100,10608
125,-10,10908
126,100,10915
127,100,10923
128,100,10930
129,100,10938
130,-10,11238
131,100,11260
132,100,11277
133,100,11290
134,100,11314
135,100,11327
136,100,11335
137,100,11349
138,-10,11649
139,100,11656
140,100,11674
141,100,11686
142,100,11701
143,100,11729
144,100,11737
145,100,11759
146,100,11769
147,100,11770
148,100,11783
149,100,11793
150,100,11816
151,100,11874
152,100,11902
153,100,11915
