,scores,steps
0,-10,2009
1,-10,2035
2,-10,2065
3,-10,2105
4,-10,2145
5,-10,2157
6,-10,2195
7,-10,2217
8,-10,2233
9,100,2245
10,-10,2257
11,-10,2277
12,-10,2297
13,-10,2321
14,-10,2385
15,-10,2410
16,-10,2433
17,-10,2459
18,-10,2465
19,-10,2493
20,-10,2504
21,-10,2513
22,-10,2518
23,-10,2527
24,-10,2531
25,-10,2551
26,-10,2557
27,-10,2568
28,-10,2582
29,-10,2587
30,-10,2596
31,-10,2605
32,-10,2626
33,-10,2631
34,100,2638
35,-10,2647
36,-10,2660
37,-10,2669
38,-10,2701
39,-10,2720
40,-10,2749
41,100,2781
42,100,2825
43,-10,2837
44,-10,2897
45,100,2917
46,-10,2941
47,-10,2962
48,-10,2992
49,-10,3005
50,-10,3012
51,-10,3025
52,-10,3034
53,-10,3038
54,-10,3051
55,-10,3056
56,-10,3063
57,-10,3082
58,-10,3088
59,-10,3095
60,-10,3106
61,-10,3112
62,-10,3118
63,-10,3124
64,-10,3130
65,100,3136
66,-10,3143
67,-10,3153
68,-10,3162
69,-10,3181
70,-10,3191
71,-10,3199
72,-10,3211
73,-10,3218
74,-10,3224
75,-10,3229
76,-10,3235
77,-10,3245
78,-10,3264
79,-10,3293
80,-10,3300
81,-10,3315
82,-10,3328
83,-10,3334
84,-10,3361
85,-10,3377
86,-10,3401
87,100,3422
88,-10,3445
89,-10,3461
90,-10,3477
91,-10,3503
92,-10,3509
93,-10,3517
94,-10,3529
95,-10,3537
96,-10,3553
97,-10,3564
98,-10,3574
99,-10,3581
100,-10,3593
101,-10,3602
102,-10,3621
103,-10,3628
104,-10,3635
105,-10,3665
106,-10,3671
107,-10,3681
108,-10,3697
109,-10,3703
110,-10,3715
111,-10,3720
112,-10,3732
113,-10,3743
114,-10,3752
115,-10,3767
116,-10,3776
117,100,3785
118,-10,3792
119,-10,3806
120,-10,3820
121,100,3827
122,-10,3838
123,-10,3844
124,-10,3865
125,-10,3874
126,-10,3891
127,-10,3905
128,-10,3914
129,-10,3924
130,-10,3933
131,-10,3949
132,-10,3957
133,-10,3966
134,-10,3972
135,-10,3983
136,-10,4000
137,-10,4028
138,-10,4036
139,-10,4043
140,-10,4052
141,-10,4062
142,100,4071
143,-10,4078
144,-10,4103
145,-10,4118
146,-10,4123
147,-10,4145
148,-10,4151
149,-10,4159
150,-10,4173
151,-10,4177
152,-10,4187
153,-10,4204
154,-10,4209
155,-10,4217
156,-10,4232
157,-10,4238
158,100,4241
159,-10,4255
160,-10,4265
161,-10,4277
162,-10,4298
163,-10,4306
164,-10,4313
165,-10,4320
166,-10,4325
167,100,4337
168,-10,4351
169,100,4358
170,-10,4367
171,-10,4385
172,-10,4392
173,-10,4404
174,100,4411
175,-10,4424
176,-10,4431
177,-10,4448
178,-10,4455
179,-10,4473
180,-10,4483
181,-10,4491
182,-10,4495
183,-10,4502
184,-10,4515
185,-10,4522
186,-10,4528
187,-10,4544
188,-10,4568
189,-10,4577
190,-10,4582
191,-10,4586
192,-10,4591
193,100,4600
194,-10,4608
195,-10,4614
196,-10,4618
197,-10,4623
198,-10,4641
199,-10,4652
200,-10,4658
201,-10,4677
202,-10,4682
203,-10,4699
204,-10,4706
205,-10,4712
206,100,4724
207,100,4728
208,-10,4737
209,-10,4744
210,-10,4749
211,-10,4753
212,-10,4764
213,-10,4770
214,-10,4780
215,-10,4808
216,-10,4814
217,-10,4825
218,100,4830
219,-10,4838
220,-10,4848
221,-10,4855
222,-10,4864
223,-10,4869
224,-10,4875
225,100,4878
226,-10,4883
227,100,4889
228,-10,4907
229,-10,4912
230,-10,4922
231,-10,4928
232,-10,4935
233,-10,4942
234,-10,4948
235,-10,4953
236,-10,4960
237,-10,4972
238,-10,4977
239,100,5000
240,-10,5004
241,-10,5009
242,-10,5016
243,-10,5025
244,-10,5030
245,100,5037
246,-10,5048
247,-10,5053
248,-10,5060
249,-10,5064
250,-10,5071
251,-10,5093
252,-10,5097
253,-10,5112
254,-10,5119
255,-10,5123
256,-10,5132
257,-10,5137
258,-10,5176
259,-10,5183
260,-10,5199
261,-10,5208
262,-10,5224
263,-10,5231
264,100,5234
265,-10,5240
266,-10,5252
