,scores,steps
0,100,5101
1,-10,5180
2,-10,5229
3,-10,5307
4,-10,5392
5,-10,5529
6,-10,5625
7,-10,5760
8,-10,5845
9,-10,5925
10,-10,6018
11,100,6111
12,-10,6192
13,-10,6274
14,-10,6354
15,-10,6476
16,-10,6581
17,-10,6679
18,-10,6763
19,-10,6859
20,-10,6929
21,-10,7024
22,-10,7107
23,100,7261
24,-10,7299
25,-10,7400
26,100,7449
27,-10,7536
28,-10,7639
29,-10,7696
30,-10,7790
31,-10,7899
32,100,7970
33,-10,8018
34,-10,8110
35,-10,8195
36,-10,8237
37,-10,8293
38,-10,8373
39,-10,8431
40,-10,8545
41,-10,8646
42,100,8692
43,-10,8809
44,-10,8926
45,-10,9021
46,-10,9126
47,-10,9217
48,-10,9316
49,100,9349
50,-10,9433
51,-10,9534
52,-10,9661
53,-10,9710
54,-10,9798
55,-10,10003
56,-10,10059
57,100,10084
58,-10,10196
59,-10,10335
60,-10,10422
61,-10,10465
62,-10,10548
63,-10,10629
64,-10,10675
65,-10,10881
66,-10,10922
67,-10,11001
68,-10,11077
69,-10,11240
70,-10,11351
71,-10,11469
72,-10,11555
73,-10,11629
74,-10,11699
75,-10,11770
76,100,11787
77,-10,11861
78,-10,11956
79,-10,12027
80,-10,12077
81,-10,12147
82,-10,12239
83,-10,12289
84,100,12290
85,-10,12368
86,-10,12489
87,-10,12540
88,-10,12661
89,-10,12711
90,-10,12756
91,-10,13006
92,100,13007
93,-10,13078
94,100,13087
95,-10,13137
96,-10,13210
97,-10,13323
98,-10,13377
99,-10,13419
100,-10,13458
101,-10,13497
102,-10,13565
103,100,13666
104,-10,13777
105,-10,13820
106,-10,13929
107,-10,14011
108,-10,14073
109,-10,14153
110,-10,14186
111,-10,14227
112,-10,14308
113,100,14310
114,-10,14459
115,-10,14496
116,-10,14538
117,-10,14630
118,-10,14667
119,-10,14816
120,-10,14892
121,-10,15019
122,-10,15269
123,100,15355
124,-10,15398
125,-10,15470
126,-10,15507
127,-10,15596
128,-10,15630
129,-10,15702
130,-10,15775
131,-10,15848
132,-10,15945
133,-10,15982
134,-10,16017
135,-10,16050
136,-10,16117
137,-10,16367
138,-10,16406
139,100,16516
140,-10,16577
141,-10,16652
142,-10,16730
143,-10,16765
144,-10,16803
145,-10,16839
146,-10,16912
147,-10,16950
148,-10,16996
149,-10,17049
150,-10,17179
151,-10,17224
152,-10,17346
153,-10,17416
154,-10,17521
155,-10,17673
156,-10,17714
157,-10,17781
158,-10,18027
159,100,18224
160,-10,18339
161,-10,18410
162,-10,18518
163,-10,18617
164,-10,18738
165,-10,18822
166,-10,18933
167,-10,19020
168,-10,19087
169,-10,19126
170,100,19127
171,-10,19211
172,-10,19294
173,-10,19342
174,-10,19436
175,-10,19512
176,-10,19605
177,-10,19688
178,100,19712
179,-10,19794
180,-10,19873
181,-10,19944
182,-10,20065
183,-10,20124
184,-10,20207
185,100,20261
186,-10,20305
187,-10,20341
188,-10,20423
189,-10,20526
190,-10,20583
191,-10,20655
192,-10,20779
193,-10,20855
194,-10,20962
195,-10,21031
196,-10,21101
197,-10,21136
198,-10,21225
199,-10,21297
200,-10,21331
201,-10,21450
202,-10,21492
203,100,21514
204,-10,21559
205,-10,21629
206,-10,21681
207,-10,21749
208,-10,21790
209,-10,21844
210,-10,21939
211,-10,22043
212,100,22103
213,-10,22146
214,-10,22243
215,-10,22285
216,100,22321
217,-10,22360
218,-10,22398
219,-10,22467
220,-10,22546
221,-10,22591
222,100,22626
223,-10,22703
224,-10,22766
225,-10,22846
226,-10,22888
227,-10,22933
228,-10,23021
229,-10,23103
230,-10,23143
231,-10,23188
232,-10,23260
233,-10,23329
234,-10,23403
235,-10,23477
236,-10,23516
237,-10,23554
238,-10,23629
239,-10,23664
240,-10,23745
241,-10,23829
242,-10,23866
243,-10,23909
244,-10,23947
245,-10,23989
246,-10,24038
247,-10,24075
248,-10,24156
249,-10,24239
250,-10,24291
251,-10,24363
252,100,24364
253,-10,24434
254,-10,24512
255,-10,24552
256,-10,24628
257,100,24741
258,-10,24789
259,-10,24821
260,-10,24863
261,-10,24947
262,-10,25028
263,-10,25071
264,-10,25141
265,-10,25246
266,-10,25337
267,-10,25416
268,-10,25450
269,-10,25498
270,-10,25584
271,-10,25631
272,100,25652
273,-10,25694
274,-10,25770
275,-10,25807
276,-10,25862
277,-10,25911
278,-10,25972
279,-10,26029
280,-10,26117
281,-10,26163
282,-10,26201
283,-10,26284
284,-10,26361
285,-10,26407
286,-10,26480
287,-10,26559
288,-10,26594
289,-10,26647
290,-10,26690
291,-10,26735
292,-10,26775
293,-10,26815
294,-10,26859
295,-10,26962
296,-10,26996
297,-10,27033
298,-10,27067
299,-10,27114
300,-10,27150
301,-10,27199
302,-10,27282
303,-10,27327
304,-10,27371
305,-10,27409
306,-10,27470
307,-10,27563
308,-10,27638
309,100,27663
310,-10,27697
311,-10,27787
312,-10,27822
313,-10,27864
314,-10,27951
315,-10,28002
316,-10,28185
317,-10,28256
318,-10,28303
319,100,28348
320,-10,28396
321,-10,28433
322,-10,28477
323,-10,28560
324,-10,28610
325,-10,28706
326,-10,28756
327,-10,28800
328,-10,28841
329,-10,28898
330,-10,28947
331,-10,28996
332,-10,29037
333,-10,29098
334,-10,29157
335,-10,29191
336,-10,29239
337,-10,29277
338,-10,29330
339,-10,29416
340,-10,29496
341,-10,29551
342,-10,29641
343,-10,29682
344,-10,29725
345,-10,29775
346,-10,29826
347,-10,29881
348,-10,29978
349,-10,30025
350,-10,30115
351,-10,30193
352,-10,30234
353,100,30272
354,-10,30353
355,-10,30427
356,-10,30469
357,-10,30548
358,-10,30624
359,-10,30692
360,-10,30773
361,-10,30819
362,-10,30940
363,100,30951
364,-10,30996
365,-10,31049
366,-10,31086
367,-10,31153
368,-10,31242
369,-10,31327
370,-10,31373
371,-10,31449
372,-10,31535
373,-10,31579
374,-10,31666
375,-10,31714
376,100,31747
377,-10,31823
378,-10,31867
379,-10,31910
380,-10,31979
381,-10,32059
382,-10,32107
383,-10,32149
384,-10,32217
385,-10,32290
386,-10,32328
387,-10,32377
388,-10,32455
389,-10,32536
390,-10,32575
391,-10,32612
392,-10,32662
393,100,32663
394,-10,32740
395,100,32778
396,100,32803
397,-10,32850
398,-10,32930
399,-10,33018
400,-10,33093
401,-10,33177
402,-10,33273
403,-10,33376
404,-10,33417
405,-10,33459
406,-10,33495
407,-10,33568
408,-10,33624
409,-10,33706
410,-10,33751
411,-10,33794
412,-10,33836
413,-10,33910
414,-10,33967
415,100,33968
416,100,34016
417,-10,34087
418,-10,34199
419,-10,34246
420,-10,34284
421,-10,34394
422,-10,34438
423,-10,34483
424,-10,34521
425,-10,34567
426,-10,34700
427,-10,34774
428,-10,34812
429,-10,34856
430,100,34857
431,-10,34899
432,-10,34943
433,-10,34995
434,-10,35082
435,-10,35128
436,-10,35183
437,-10,35226
438,-10,35265
439,-10,35340
440,-10,35385
441,-10,35427
442,-10,35497
443,-10,35573
444,-10,35643
445,-10,35730
446,-10,35788
447,-10,35830
448,-10,35872
449,-10,35952
450,-10,35997
451,-10,36049
452,-10,36119
453,-10,36179
454,-10,36223
455,-10,36279
456,100,36304
457,100,36359
458,-10,36410
459,-10,36479
460,-10,36531
461,100,36610
462,-10,36660
463,-10,36695
464,100,36731
465,-10,36837
466,-10,36918
467,-10,36986
468,-10,37055
469,-10,37101
470,-10,37169
471,-10,37245
472,-10,37290
473,-10,37370
474,-10,37417
475,-10,37496
476,100,37515
477,-10,37595
478,-10,37676
479,-10,37758
480,-10,37801
481,-10,37889
482,-10,37930
483,-10,38039
484,100,38096
485,-10,38141
486,-10,38189
487,-10,38294
488,-10,38372
489,-10,38457
490,-10,38541
491,-10,38595
492,100,38687
493,-10,38780
494,-10,38883
495,-10,38982
496,-10,39023
497,-10,39068
498,-10,39172
499,100,39216
500,-10,39270
501,-10,39319
502,-10,39373
503,-10,39413
