,scores,steps
0,-10,2037
1,100,2045
2,-10,2097
3,-10,2142
4,-10,2194
5,-10,2236
6,-10,2265
7,-10,2321
8,-10,2361
9,-10,2397
10,-10,2433
11,-10,2533
12,-10,2833
13,-10,3133
14,100,3190
15,-10,3257
16,-10,3341
17,-10,3537
18,-10,3557
19,-10,3586
20,-10,3603
21,100,3612
22,-10,3635
23,-10,3647
24,-10,3680
25,100,3689
26,-10,3704
27,-10,3727
28,-10,3739
29,-10,3751
30,-10,3764
31,100,3793
32,-10,3825
33,-10,3837
34,-10,3855
35,100,3859
36,-10,3876
37,-10,3888
38,-10,3899
39,-10,3912
40,-10,3924
41,-10,3936
42,-10,3946
43,-10,3957
44,-10,3969
45,-10,3985
46,100,3990
47,-10,4004
48,-10,4029
49,-10,4042
50,-10,4054
51,-10,4064
52,-10,4074
53,-10,4086
54,-10,4099
55,-10,4112
56,-10,4126
57,-10,4138
58,-10,4153
59,-10,4164
60,-10,4179
61,-10,4193
62,-10,4203
63,-10,4214
64,-10,4227
65,-10,4241
66,100,4248
67,-10,4262
68,-10,4274
69,-10,4285
70,-10,4296
71,-10,4308
72,-10,4321
73,-10,4334
74,-10,4346
75,-10,4358
76,-10,4368
77,-10,4382
78,100,4394
79,-10,4408
80,-10,4419
81,-10,4429
82,-10,4475
83,-10,4493
84,-10,4505
85,100,4511
86,-10,4526
87,100,4528
88,100,4529
89,-10,4541
90,-10,4552
91,-10,4565
92,100,4575
93,-10,4589
94,-10,4602
95,100,4615
96,100,4627
97,-10,4643
98,-10,4655
99,100,4665
100,100,4675
101,100,4685
102,-10,4703
103,100,4712
104,-10,4742
105,100,4749
106,-10,4762
107,-10,4781
108,-10,4813
109,-10,4835
110,-10,4874
111,-10,4922
112,100,4938
113,-10,4970
114,-10,4984
115,-10,5040
116,-10,5112
117,100,5289
118,-10,5304
119,100,5343
120,100,5368
121,100,5459
122,-10,5759
123,100,5773
124,100,5797
125,100,5808
126,100,5854
127,100,5872
128,100,5889
129,100,5898
130,100,5906
131,100,5914
132,100,5929
133,100,5947
134,100,5963
135,100,5976
136,100,5986
137,100,5989
138,100,5997
139,100,6006
140,-10,6306
141,100,6315
142,100,6329
143,100,6406
144,-10,6706
145,100,6899
146,100,6911
147,100,6922
148,100,6928
149,100,6940
150,100,6953
151,100,6959
152,100,6965
153,100,6970
154,100,6978
155,100,6995
156,100,6999
157,100,7014
158,100,7015
159,100,7027
160,100,7041
161,100,7055
162,100,7064
163,100,7069
164,100,7074
165,100,7088
166,100,7094
167,100,7107
168,100,7108
169,100,7124
170,100,7141
171,100,7159
172,100,7180
173,100,7206
174,100,7227
175,100,7232
176,100,7243
177,100,7251
178,100,7262
179,100,7277
180,100,7291
181,100,7301
182,100,7312
183,100,7318
184,100,7351
185,100,7357
186,100,7368
187,100,7378
188,100,7389
189,100,7400
190,100,7424
191,100,7434
192,100,7447
193,100,7456
194,100,7471
195,100,7472
196,-10,7594
197,100,7603
198,100,7611
199,100,7617
200,100,7629
201,100,7646
202,100,7663
203,100,7689
204,100,7694
205,100,7718
206,100,7728
207,100,7738
208,100,7751
209,100,7768
210,100,7785
211,100,7797
212,100,7820
213,100,7834
214,100,7843
215,100,7865
216,100,7873
217,100,7881
218,100,7892
219,100,7899
220,100,7907
221,100,7914
222,100,7921
223,100,7931
224,100,7937
225,100,7944
226,100,7952
227,100,7970
228,100,7982
229,100,7998
230,100,8003
231,100,8011
232,100,8019
233,100,8028
234,100,8035
235,100,8047
236,100,8059
237,100,8071
238,100,8086
239,100,8114
240,100,8163
241,100,8179
242,100,8191
243,100,8202
244,100,8203
245,100,8240
246,100,8255
247,100,8257
248,100,8265
249,100,8272
250,100,8282
251,100,8294
252,100,8313
253,100,8328
254,100,8342
255,100,8349
256,100,8360
257,100,8368
258,100,8382
259,100,8390
260,100,8402
261,100,8425
262,100,8432
263,100,8443
264,100,8462
265,100,8471
266,100,8482
267,100,8490
268,100,8507
269,100,8519
270,100,8527
271,100,8533
272,100,8547
273,100,8555
274,100,8563
275,100,8570
276,100,8571
277,100,8579
278,100,8589
279,100,8594
280,100,8602
281,100,8614
282,100,8628
283,100,8646
284,100,8655
285,100,8663
286,100,8678
287,100,8684
288,100,8692
289,100,8701
290,100,8712
291,100,8723
292,100,8734
293,100,8744
294,100,8749
295,100,8755
296,100,8763
297,100,8770
298,100,8780
299,100,8795
300,100,8804
301,100,8813
302,100,8820
303,100,8821
304,100,8827
305,100,8834
306,100,8843
307,100,8854
308,100,8861
309,100,8867
310,100,8874
311,100,8887
312,100,8901
313,100,8905
314,100,8912
315,100,8915
316,100,8931
317,100,8939
318,100,8952
319,100,8968
320,100,8978
321,100,8995
322,100,9008
323,100,9020
324,100,9032
325,100,9041
326,100,9055
327,100,9063
328,100,9072
329,100,9082
330,100,9094
331,100,9103
332,100,9109
333,100,9120
334,100,9137
335,100,9147
336,100,9157
337,100,9171
338,100,9184
339,100,9201
340,100,9211
341,100,9232
342,100,9250
343,100,9269
344,100,9283
345,100,9289
346,100,9299
347,100,9314
