episode,scores,steps
0,-10,111
1,-10,152
2,-10,182
3,-10,208
4,-10,240
5,-10,266
6,-10,294
7,-10,335
8,-10,377
9,-10,466
10,-10,499
11,-10,526
12,-10,544
13,-10,794
14,-10,806
15,-10,833
16,-10,842
17,-10,851
18,-10,861
19,-10,870
20,-10,879
21,-10,887
22,-10,895
23,-10,903
24,-10,913
25,-10,922
26,-10,931
27,-10,940
28,-10,949
29,-10,958
30,-10,966
31,-10,974
32,-10,982
33,-10,991
34,-10,1006
35,-10,1018
36,-10,1025
37,-10,1033
38,-10,1040
39,-10,1047
40,-10,1054
41,-10,1061
42,-10,1069
43,-10,1076
44,-10,1091
45,-10,1104
46,-10,1197
47,-10,1205
48,-10,1217
49,-10,1225
50,-10,1237
51,-10,1250
52,-10,1277
53,-10,1289
54,-10,1298
55,-10,1313
56,-10,1563
57,-10,1589
58,-10,1671
59,-10,1684
60,-10,1696
61,-10,1707
62,-10,1721
63,-10,1756
64,-10,1770
65,-10,1781
66,-10,1791
67,-10,1802
68,-10,1813
69,-10,1823
70,-10,1834
71,-10,1844
72,-10,1856
73,-10,1867
74,-10,1878
75,-10,1890
76,-10,1901
77,-10,1911
78,-10,1933
79,-10,1941
80,-10,2191
81,-10,2278
82,-10,2333
83,-10,2374
84,-10,2410
85,-10,2439
86,100,2631
87,-10,2710
88,-10,2717
89,-10,2724
90,-10,2733
91,-10,2740
92,-10,2746
93,-10,2754
94,-10,2761
95,-10,2769
96,-10,2776
97,-10,2783
98,-10,2790
99,-10,2797
100,-10,2804
101,-10,2811
102,-10,2818
103,-10,2825
104,-10,2832
105,-10,2839
106,-10,2847
107,-10,2854
108,-10,2862
109,-10,2870
110,-10,2878
111,-10,2887
112,-10,2895
113,-10,2903
114,-10,2912
115,-10,2921
116,-10,2929
117,-10,2937
118,-10,2945
119,-10,2953
120,-10,2962
121,-10,2970
122,-10,2978
123,-10,2986
124,-10,2993
125,-10,3000
126,-10,3009
127,-10,3018
128,-10,3028
129,-10,3037
130,-10,3046
131,-10,3054
132,-10,3063
133,-10,3072
134,-10,3080
135,-10,3088
136,-10,3097
137,-10,3106
138,-10,3117
139,-10,3127
140,-10,3135
141,-10,3143
142,-10,3151
143,-10,3159
144,-10,3169
145,-10,3178
146,-10,3187
147,-10,3197
148,-10,3206
149,-10,3214
150,-10,3221
151,-10,3229
152,-10,3237
153,-10,3245
154,-10,3253
155,-10,3262
156,-10,3270
157,-10,3279
158,-10,3288
159,-10,3297
160,-10,3305
161,-10,3314
162,-10,3323
163,-10,3333
164,-10,3344
165,-10,3355
166,-10,3365
167,-10,3375
168,-10,3505
169,-10,3514
170,-10,3524
171,-10,3691
172,-10,3698
173,-10,3706
174,-10,3713
175,-10,3721
176,-10,3728
177,-10,3736
178,-10,3743
179,-10,3750
180,-10,3757
181,-10,3764
182,-10,3771
183,-10,3778
184,-10,3785
185,-10,3791
186,-10,3798
187,-10,3804
188,-10,3811
189,-10,3818
190,-10,3825
191,-10,3831
192,-10,3838
193,-10,3845
194,-10,3851
195,-10,3857
196,-10,3864
197,-10,3871
198,-10,3879
199,-10,3886
200,-10,3893
201,-10,3900
202,-10,3907
203,-10,3914
204,-10,3921
205,-10,3929
206,-10,3936
207,-10,3943
208,-10,3950
209,-10,3958
210,-10,3965
211,-10,3972
212,-10,3979
213,-10,3986
214,-10,3993
215,-10,4000
216,-10,4007
217,-10,4013
218,-10,4020
219,-10,4026
220,-10,4033
221,-10,4039
222,-10,4046
223,-10,4053
224,-10,4059
225,-10,4065
226,-10,4072
227,-10,4079
228,-10,4086
229,-10,4093
230,-10,4100
231,-10,4107
232,-10,4114
233,-10,4120
234,-10,4127
235,-10,4133
236,-10,4140
237,-10,4147
238,-10,4153
239,-10,4159
240,-10,4167
241,-10,4188
242,-10,4206
243,-10,4212
244,-10,4219
245,-10,4225
246,-10,4232
247,-10,4241
248,-10,4249
249,-10,4257
250,-10,4264
251,-10,4307
252,-10,4320
253,-10,4329
254,-10,4399
255,-10,4421
256,-10,4429
257,100,4440
258,-10,4448
259,-10,4460
260,-10,4474
261,-10,4486
262,-10,4493
263,-10,4623
264,-10,4631
265,-10,4715
266,-10,4722
267,-10,4731
268,-10,4738
269,-10,4747
270,-10,4754
271,-10,4764
272,-10,4771
273,-10,4778
274,-10,4786
275,-10,4795
276,-10,4802
277,-10,4815
278,-10,4822
279,-10,4829
280,-10,4839
281,-10,4845
282,100,4850
283,-10,4857
284,-10,4864
285,-10,4871
286,-10,4878
287,-10,4885
288,-10,4892
289,-10,4900
290,100,4906
291,-10,4914
292,-10,4920
293,-10,4927
294,-10,4934
295,-10,4941
296,-10,4947
297,-10,4955
298,-10,4962
299,-10,4968
300,-10,4975
301,-10,4983
302,-10,4991
303,-10,4999
304,-10,5006
305,-10,5013
306,-10,5019
307,-10,5026
308,-10,5034
309,-10,5041
310,-10,5048
311,-10,5055
312,-10,5062
313,-10,5069
314,-10,5076
315,-10,5083
316,-10,5090
317,-10,5097
318,-10,5104
319,-10,5112
320,-10,5120
321,-10,5128
322,-10,5136
323,-10,5143
324,-10,5151
325,-10,5158
326,-10,5165
327,-10,5173
328,-10,5180
329,-10,5188
330,-10,5196
331,-10,5204
332,-10,5211
333,-10,5219
334,-10,5226
335,-10,5233
336,-10,5240
337,-10,5248
338,-10,5255
339,-10,5263
340,-10,5270
341,-10,5298
342,-10,5322
343,-10,5348
344,-10,5413
345,-10,5423
346,-10,5490
347,-10,5536
348,-10,5712
349,-10,5736
350,-10,5774
351,-10,5784
352,-10,5813
353,-10,5862
354,-10,5892
355,-10,5942
356,-10,5970
357,-10,5998
358,-10,6026
359,-10,6037
360,-10,6069
361,-10,6115
362,-10,6160
363,-10,6219
364,-10,6305
365,-10,6420
366,-10,6539
367,-10,6592
368,-10,6671
369,-10,6746
370,-10,6901
371,-10,7151
372,-10,7401
373,-10,7651
374,-10,7901
375,-10,8151
376,-10,8401
377,-10,8651
378,-10,8901
379,-10,9151
380,100,9359
381,-10,9609
382,-10,9859
383,-10,10109
