episode,scores,steps
0,-10,214
1,-10,464
2,-10,530
3,-10,540
4,-10,549
5,-10,595
6,-10,671
7,-10,679
8,-10,685
9,-10,693
10,-10,699
11,-10,706
12,-10,718
13,-10,734
14,-10,800
15,-10,806
16,-10,812
17,-10,817
18,-10,823
19,-10,828
20,-10,834
21,-10,839
22,-10,844
23,-10,849
24,-10,854
25,-10,860
26,-10,865
27,-10,871
28,-10,877
29,-10,883
30,-10,889
31,-10,895
32,-10,901
33,-10,907
34,-10,914
35,-10,931
36,-10,1181
37,-10,1191
38,-10,1202
39,-10,1212
40,-10,1222
41,-10,1233
42,-10,1243
43,-10,1253
44,-10,1263
45,-10,1275
46,-10,1286
47,-10,1298
48,-10,1314
49,-10,1328
50,-10,1578
51,-10,1828
52,-10,1874
53,-10,1910
54,-10,1924
55,-10,1996
56,100,2060
57,-10,2069
58,-10,2085
59,-10,2108
60,-10,2117
61,100,2118
62,-10,2129
63,-10,2142
64,-10,2147
65,-10,2154
66,-10,2161
67,-10,2166
68,100,2167
69,-10,2179
70,-10,2184
71,-10,2191
72,-10,2199
73,-10,2204
74,-10,2209
75,-10,2214
76,-10,2219
77,-10,2224
78,-10,2230
79,-10,2235
80,100,2243
81,-10,2248
82,-10,2256
83,-10,2261
84,-10,2270
85,-10,2275
86,-10,2281
87,-10,2286
88,-10,2293
89,-10,2298
90,-10,2306
91,-10,2311
92,-10,2318
93,-10,2323
94,-10,2328
95,-10,2334
96,-10,2340
97,-10,2346
98,100,2347
99,-10,2359
100,-10,2366
101,-10,2371
102,-10,2377
103,-10,2384
104,-10,2390
105,-10,2395
106,-10,2401
107,-10,2407
108,-10,2412
109,-10,2418
110,-10,2423
111,-10,2429
112,-10,2436
113,-10,2442
114,-10,2448
115,-10,2455
116,-10,2460
117,-10,2466
118,-10,2471
119,-10,2477
120,-10,2482
121,-10,2488
122,-10,2494
123,-10,2500
124,-10,2509
125,-10,2516
126,-10,2522
127,-10,2529
128,100,2530
129,-10,2540
130,-10,2546
131,-10,2553
132,-10,2559
133,-10,2564
134,-10,2570
135,-10,2576
136,-10,2581
137,-10,2590
138,-10,2595
139,-10,2602
140,-10,2607
141,-10,2613
142,-10,2619
143,-10,2624
144,-10,2634
145,-10,2639
146,-10,2649
147,-10,2654
148,-10,2663
149,-10,2669
150,-10,2676
151,-10,2684
152,-10,2692
153,-10,2697
154,100,2698
155,-10,2709
156,-10,2714
157,-10,2721
158,-10,2726
159,-10,2731
160,-10,2737
161,-10,2743
162,-10,2748
163,-10,2753
164,-10,2759
165,-10,2764
166,-10,2769
167,-10,2774
168,-10,2780
169,-10,2785
170,-10,2791
171,-10,2796
172,-10,2802
173,-10,2807
174,-10,2812
175,-10,2818
176,-10,2824
177,-10,2830
178,-10,2836
179,-10,2842
180,-10,2848
181,-10,2854
182,-10,2860
183,-10,2866
184,-10,2872
185,-10,2878
186,-10,2883
187,100,2884
188,-10,2893
189,-10,2898
190,-10,2904
191,-10,2909
192,-10,2914
193,-10,2919
194,-10,2926
195,-10,2931
196,-10,2936
197,-10,2941
198,-10,2947
199,-10,2952
200,-10,2958
201,-10,2964
202,100,2965
203,-10,2975
204,-10,2981
205,-10,2986
206,-10,2991
207,-10,2997
208,-10,3003
209,-10,3009
210,-10,3015
211,-10,3021
212,-10,3027
213,100,3028
214,-10,3038
215,-10,3045
216,-10,3052
217,-10,3059
218,-10,3066
219,-10,3073
220,-10,3080
221,-10,3087
222,-10,3094
223,-10,3101
224,-10,3108
225,-10,3114
226,-10,3120
227,-10,3126
228,-10,3132
229,-10,3138
230,-10,3144
231,-10,3150
232,-10,3155
233,-10,3160
234,-10,3165
235,-10,3171
236,-10,3176
237,-10,3182
238,-10,3189
239,-10,3194
240,-10,3199
241,-10,3204
242,-10,3210
243,-10,3216
244,-10,3222
245,-10,3228
246,-10,3234
247,-10,3239
248,-10,3244
249,-10,3249
250,-10,3255
251,-10,3260
252,-10,3266
253,-10,3271
254,-10,3277
255,-10,3285
256,-10,3291
257,-10,3296
258,100,3297
259,-10,3307
260,-10,3312
261,-10,3320
262,-10,3325
263,-10,3335
264,-10,3339
265,-10,3349
266,-10,3353
267,-10,3364
268,-10,3369
269,-10,3378
270,-10,3383
271,-10,3394
272,-10,3398
273,-10,3407
274,-10,3412
275,-10,3419
276,-10,3424
277,-10,3433
278,-10,3438
279,-10,3448
280,-10,3452
281,-10,3463
282,-10,3467
283,-10,3479
284,-10,3483
285,-10,3495
286,-10,3499
287,100,3502
288,-10,3512
289,-10,3516
290,-10,3526
291,-10,3530
292,-10,3540
293,-10,3543
294,100,3551
295,-10,3556
296,-10,3568
297,-10,3572
298,-10,3582
299,-10,3588
300,-10,3593
301,100,3594
302,-10,3604
303,-10,3609
304,-10,3615
305,-10,3620
306,-10,3626
307,-10,3632
308,-10,3638
309,-10,3644
310,-10,3649
311,-10,3654
312,-10,3660
313,-10,3666
314,100,3667
315,-10,3677
316,-10,3683
317,-10,3689
318,-10,3695
319,-10,3701
320,-10,3707
321,-10,3713
322,-10,3719
323,-10,3724
324,-10,3729
325,-10,3735
326,-10,3741
327,-10,3746
328,-10,3752
329,-10,3758
330,-10,3763
331,-10,3769
332,-10,3775
333,-10,3781
334,-10,3787
335,-10,3793
336,-10,3799
337,-10,3806
338,-10,3812
339,-10,3818
340,-10,3824
341,-10,3830
342,-10,3836
343,-10,3842
344,-10,3847
345,-10,3852
346,-10,3858
347,-10,3863
348,-10,3868
349,-10,3875
350,-10,3880
351,-10,3886
352,-10,3891
353,-10,3896
354,-10,3902
355,100,3903
356,-10,3912
357,-10,3919
358,-10,3924
359,-10,3930
360,-10,3936
361,-10,3942
362,-10,3948
363,-10,3953
364,-10,3959
365,-10,3965
366,-10,3971
367,-10,3977
368,-10,3983
369,-10,3989
370,-10,3995
371,-10,4002
372,-10,4008
373,-10,4014
374,-10,4031
375,-10,4051
376,-10,4060
377,-10,4069
378,-10,4075
379,-10,4081
380,-10,4087
381,-10,4093
382,-10,4099
383,-10,4104
384,-10,4109
385,-10,4115
386,-10,4121
387,-10,4127
388,100,4128
389,-10,4137
390,-10,4143
391,-10,4148
392,-10,4153
393,-10,4160
394,-10,4168
395,-10,4176
396,-10,4184
397,-10,4190
398,-10,4194
399,100,4200
400,-10,4205
401,-10,4213
402,-10,4219
403,-10,4225
404,-10,4231
405,-10,4236
406,-10,4242
407,-10,4248
408,-10,4254
409,-10,4260
410,-10,4266
411,-10,4272
412,-10,4278
413,-10,4284
414,-10,4290
415,-10,4295
