episode,scores,steps
0,-10,250
1,-10,322
2,100,408
3,-10,454
4,-10,492
5,-10,522
6,-10,551
7,-10,580
8,-10,608
9,-10,633
10,-10,663
11,-10,694
12,-10,723
13,-10,752
14,-10,782
15,-10,810
16,-10,839
17,-10,869
18,-10,901
19,-10,933
20,-10,961
21,-10,989
22,-10,1017
23,-10,1045
24,-10,1073
25,-10,1101
26,-10,1129
27,-10,1157
28,-10,1185
29,-10,1211
30,-10,1239
31,-10,1267
32,-10,1294
33,-10,1321
34,-10,1349
35,-10,1377
36,-10,1405
37,-10,1432
38,-10,1460
39,-10,1488
40,-10,1517
41,-10,1545
42,-10,1573
43,-10,1601
44,-10,1632
45,-10,1661
46,-10,1689
47,-10,1720
48,-10,1748
49,-10,1779
50,-10,1816
51,-10,1845
52,-10,1873
53,-10,1907
54,-10,1936
55,-10,1973
56,-10,2223
57,-10,2390
58,-10,2436
59,-10,2664
60,-10,2831
61,-10,2871
62,-10,3044
63,-10,3081
64,-10,3118
65,-10,3157
66,-10,3259
67,-10,3437
68,100,3466
69,-10,3505
70,-10,3543
71,-10,3581
72,-10,3623
73,-10,3680
74,-10,3722
75,-10,3761
76,-10,3798
77,-10,3836
78,100,3859
79,-10,3913
80,-10,3951
81,-10,3988
82,-10,4046
83,-10,4095
84,-10,4132
85,-10,4168
86,-10,4209
87,-10,4264
88,-10,4301
89,-10,4359
90,-10,4396
91,-10,4445
92,-10,4483
93,-10,4520
94,-10,4558
95,-10,4596
96,-10,4634
97,-10,4674
98,-10,4710
99,-10,4748
100,100,4777
101,-10,4816
102,-10,4853
103,-10,4904
104,-10,4954
105,-10,4992
106,-10,5033
107,-10,5077
108,-10,5117
109,-10,5153
110,-10,5200
111,-10,5249
112,-10,5288
113,-10,5334
114,-10,5412
115,-10,5449
116,-10,5493
117,-10,5536
118,-10,5581
119,-10,5626
120,-10,5669
121,-10,5712
122,-10,5762
123,-10,5798
124,-10,5839
125,-10,5882
126,-10,5925
127,-10,5968
128,-10,6007
129,-10,6049
130,-10,6104
131,-10,6146
132,-10,6199
133,-10,6243
134,-10,6287
135,-10,6331
136,-10,6373
137,-10,6415
138,-10,6453
139,-10,6537
140,-10,6611
141,-10,6656
142,-10,6724
143,100,6752
144,-10,6795
145,100,6850
146,-10,6958
147,-10,7000
148,-10,7056
149,-10,7101
150,-10,7150
151,-10,7202
152,-10,7312
153,100,7341
154,-10,7459
