episode,scores,steps
0,-10,250
1,-10,500
2,-10,750
3,-10,1000
4,-10,1250
5,-10,1500
6,-10,1750
7,100,1811
8,-10,2061
9,-10,2292
10,-10,2542
11,-10,2792
12,-10,3042
13,-10,3281
14,-10,3366
15,-10,3441
16,100,3445
17,-10,3514
18,-10,3563
19,-10,3673
20,-10,3743
21,-10,3806
22,-10,4056
23,-10,4102
24,-10,4352
25,100,4355
26,-10,4466
27,-10,4716
28,-10,4891
29,-10,5141
30,-10,5391
31,-10,5641
32,-10,5891
33,100,5933
34,100,5983
35,-10,6233
36,100,6234
37,-10,6484
38,100,6528
39,-10,6778
40,-10,7028
41,100,7074
42,-10,7324
43,-10,7574
44,-10,7824
45,100,7829
46,-10,8079
47,-10,8260
48,-10,8510
49,100,8513
50,-10,8763
51,100,8965
52,100,8994
53,100,9065
54,100,9148
55,-10,9204
56,-10,9377
57,100,9413
58,-10,9474
59,-10,9586
60,-10,9730
61,-10,9881
62,-10,9934
63,100,9945
64,-10,10066
65,-10,10316
66,-10,10440
67,-10,10496
68,100,10510
69,-10,10590
70,-10,10840
71,-10,10895
72,-10,10946
73,-10,10994
74,-10,11040
75,-10,11135
76,-10,11181
77,-10,11236
78,-10,11291
79,-10,11343
80,-10,11393
81,-10,11508
82,-10,11554
83,-10,11616
84,-10,11685
85,-10,11935
86,-10,12137
87,-10,12237
88,-10,12487
89,-10,12737
90,-10,12987
91,-10,13237
92,100,13258
93,-10,13508
94,-10,13758
95,-10,14008
96,-10,14258
97,-10,14508
98,-10,14758
99,-10,15008
100,-10,15062
101,100,15294
102,-10,15502
103,100,15582
104,-10,15832
105,-10,16075
106,-10,16325
107,100,16442
108,-10,16614
109,-10,16666
110,-10,16916
111,-10,17036
112,-10,17286
113,-10,17345
114,-10,17399
115,-10,17614
116,-10,17670
117,-10,17920
118,-10,18044
119,100,18069
120,-10,18319
121,-10,18569
122,-10,18819
123,100,18831
124,-10,19081
125,-10,19331
126,-10,19581
127,-10,19831
128,-10,19962
129,-10,20212
130,-10,20462
131,100,20484
132,-10,20734
133,-10,20984
134,100,20985
135,-10,21235
136,-10,21348
137,-10,21598
138,-10,21848
139,100,21882
140,-10,22007
141,-10,22257
142,-10,22314
143,-10,22564
144,-10,22694
145,-10,22944
146,-10,23058
147,-10,23308
148,-10,23558
149,-10,23808
150,-10,24058
151,-10,24308
152,-10,24419
153,100,24583
154,-10,24700
155,-10,24753
156,-10,24838
157,-10,25088
158,100,25123
159,100,25289
160,-10,25354
161,100,25600
162,-10,25798
163,-10,25858
164,100,25952
165,100,26127
166,-10,26194
167,-10,26304
168,100,26447
169,100,26533
170,100,26544
171,-10,26629
172,-10,26879
173,100,26977
174,100,27073
175,-10,27177
176,100,27254
177,100,27277
178,100,27412
179,-10,27543
180,-10,27644
181,-10,27894
182,100,27991
183,-10,28241
184,-10,28491
185,-10,28741
186,100,28742
187,-10,28992
188,100,29129
189,-10,29379
190,100,29486
191,-10,29736
192,100,29737
193,-10,29987
194,100,30205
195,-10,30455
196,100,30679
197,-10,30929
198,-10,31179
199,-10,31429
200,-10,31679
201,-10,31929
202,100,32030
203,-10,32280
204,-10,32530
205,-10,32780
206,100,32865
207,-10,33115
208,-10,33365
209,-10,33615
210,100,33632
211,100,33673
212,-10,33923
213,100,34029
214,-10,34279
215,-10,34529
216,-10,34704
217,-10,34954
218,-10,35204
219,-10,35454
220,-10,35704
221,100,35723
222,-10,35973
223,-10,36223
224,-10,36473
225,-10,36723
226,-10,36973
227,-10,37223
228,-10,37473
229,100,37721
230,-10,37971
231,100,37973
232,-10,38223
233,-10,38473
234,-10,38723
235,-10,38973
236,-10,39223
237,-10,39473
238,-10,39723
239,-10,39973
240,-10,40223
241,100,40260
242,-10,40510
243,-10,40760
244,-10,40958
245,100,41157
246,100,41241
247,-10,41491
248,100,41594
249,100,41627
250,-10,41877
251,100,41890
252,100,42038
253,100,42091
254,100,42102
255,100,42139
256,100,42204
257,100,42257
258,100,42487
259,-10,42737
260,100,42868
261,100,42963
262,-10,43213
263,-10,43463
264,-10,43713
265,100,43837
266,100,44047
267,-10,44297
268,100,44431
269,100,44448
270,100,44511
271,100,44607
272,100,44628
273,-10,44878
274,100,44956
275,100,45004
276,-10,45254
277,100,45360
278,100,45606
279,100,45630
280,100,45645
281,-10,45895
282,100,46003
283,100,46067
284,-10,46317
285,100,46401
286,-10,46651
287,100,46698
288,-10,46948
289,100,47024
290,-10,47274
291,100,47323
292,100,47400
293,100,47607
294,100,47667
295,100,47677
296,100,47730
297,100,47883
298,100,47998
299,100,48184
300,100,48237
301,100,48482
302,100,48511
303,100,48601
304,100,48675
305,100,48702
306,100,48787
307,100,48945
308,100,48973
309,100,49038
310,100,49073
311,-10,49323
312,100,49385
313,-10,49635
314,100,49652
315,-10,49902
316,100,49937
317,-10,50187
318,100,50240
319,100,50333
320,100,50377
321,100,50547
322,100,50570
323,100,50754
324,100,50814
325,100,50828
326,-10,51078
327,-10,51328
328,100,51380
329,-10,51630
330,-10,51880
331,-10,52130
332,100,52166
333,100,52216
334,100,52301
335,100,52508
336,-10,52758
337,100,52931
338,100,53140
339,-10,53390
340,100,53425
341,100,53465
342,100,53512
343,100,53569
344,-10,53819
345,100,53864
346,100,53908
347,-10,54158
348,100,54208
349,-10,54458
350,100,54509
351,-10,54759
352,100,54895
353,100,54905
354,100,54953
355,100,54984
356,100,55019
357,100,55052
358,100,55154
359,100,55243
360,-10,55493
361,100,55494
362,100,55531
363,100,55604
364,100,55641
365,100,55691
366,-10,55941
367,100,55990
368,100,56042
369,-10,56292
370,100,56328
371,100,56364
372,-10,56614
373,-10,56864
374,100,56936
375,100,56987
376,100,57091
377,100,57195
378,100,57235
379,100,57277
380,100,57359
381,100,57414
382,100,57517
383,100,57539
384,100,57591
385,100,57620
386,100,57669
387,100,57710
388,100,57747
389,100,57771
390,100,57788
391,100,57844
392,100,57863
393,100,57881
394,100,57920
395,100,58057
396,100,58112
397,100,58206
398,100,58414
399,100,58478
400,100,58484
401,100,58566
402,100,58567
403,100,58642
404,100,58680
405,100,58720
406,100,58742
407,100,58850
408,-10,59100
409,100,59111
410,100,59134
411,100,59298
412,100,59353
413,100,59379
414,100,59417
415,100,59618
416,100,59847
417,100,59851
418,100,59930
419,100,59977
420,100,59995
421,-10,60245
422,100,60269
423,100,60318
424,100,60377
425,100,60407
426,100,60457
427,100,60500
428,100,60516
429,100,60528
430,100,60551
431,100,60597
432,100,60598
433,100,60664
434,100,60691
435,100,60704
436,100,60782
437,100,60830
438,100,60870
439,100,60931
440,100,61014
441,100,61088
442,100,61151
443,100,61188
444,100,61295
445,100,61349
446,100,61350
447,100,61398
448,100,61467
449,100,61571
450,100,61613
451,100,61690
452,100,61710
453,100,61756
454,100,61800
455,100,61846
456,100,61921
457,100,61968
458,100,61995
459,100,62079
460,100,62100
461,100,62133
462,100,62156
463,100,62198
464,100,62255
465,-10,62505
466,100,62554
467,100,62596
468,100,62642
469,100,62706
470,100,62806
471,100,62880
472,100,62956
473,100,62990
474,100,63014
475,100,63090
476,100,63140
477,100,63224
478,100,63274
479,-10,63524
480,100,63559
481,100,63614
482,100,63620
483,100,63657
484,100,63660
485,100,63702
486,100,63761
487,100,63803
488,100,63836
489,100,63901
490,100,63926
491,100,63954
492,100,63998
493,100,64038
494,100,64064
495,100,64096
496,100,64151
497,100,64181
498,100,64246
499,100,64268
500,100,64269
501,100,64325
502,100,64341
503,100,64373
504,100,64452
505,100,64481
506,100,64520
507,100,64549
508,100,64620
509,100,64723
510,100,64814
511,100,64869
512,100,64895
513,100,64955
514,100,65016
515,100,65079
516,100,65166
517,100,65209
518,100,65298
519,100,65320
520,100,65377
521,100,65446
522,100,65501
523,100,65553
524,100,65633
525,100,65702
526,100,65703
527,100,65746
528,100,65802
529,100,65832
530,100,65840
531,100,65874
532,100,65931
533,100,66026
534,100,66063
535,100,66085
536,100,66105
537,100,66171
538,100,66224
539,100,66318
540,100,66405
541,100,66463
542,100,66499
543,100,66547
544,100,66563
545,100,66607
546,100,66645
547,100,66728
548,100,66747
549,100,66788
550,100,66839
551,100,66866
552,100,66918
553,100,66934
554,100,66965
555,100,67000
556,100,67033
557,100,67067
558,100,67122
559,100,67175
560,100,67216
561,100,67283
562,100,67323
563,100,67387
564,100,67466
565,100,67535
566,100,67618
567,100,67711
568,100,67781
569,100,67793
570,100,67880
571,100,67917
572,100,67936
573,100,67991
574,100,68065
575,100,68087
576,100,68121
577,100,68163
578,100,68192
579,100,68216
580,100,68239
581,100,68286
582,100,68349
583,100,68387
584,100,68470
585,100,68539
586,100,68559
587,100,68608
588,100,68658
589,100,68671
590,100,68712
591,100,68755
592,100,68782
593,100,68840
594,100,68883
595,100,68929
596,100,68975
597,100,68989
598,100,69075
599,100,69152
600,100,69363
601,100,69394
602,100,69433
603,100,69509
604,100,69532
605,100,69575
606,100,69783
607,100,69863
608,100,69903
609,100,69940
610,100,69970
611,100,70002
612,100,70087
613,100,70088
614,100,70130
615,100,70216
616,100,70236
617,100,70264
618,100,70334
619,100,70428
