episode,scores,steps
0,-10,167
1,100,204
2,-10,290
3,-10,348
4,-10,598
5,-10,848
6,-10,1098
7,-10,1348
8,-10,1598
9,-10,1848
10,-10,2098
11,-10,2278
12,-10,2331
13,-10,2363
14,-10,2395
15,-10,2412
16,-10,2444
17,-10,2461
18,-10,2478
19,-10,2495
20,-10,2512
21,-10,2529
22,-10,2548
23,-10,2565
24,-10,2582
25,-10,2600
26,-10,2618
27,-10,2635
28,-10,2678
29,-10,2711
30,-10,2730
31,-10,2748
32,-10,2777
33,-10,2794
34,-10,2826
35,-10,2843
36,-10,2876
37,-10,2909
38,-10,2929
39,-10,2946
40,-10,2979
41,-10,2996
42,-10,3029
43,-10,3045
44,-10,3068
45,-10,3085
46,-10,3102
47,-10,3119
48,-10,3136
49,-10,3153
50,-10,3173
51,-10,3196
52,-10,3215
53,-10,3237
54,-10,3255
55,-10,3272
56,-10,3290
57,-10,3307
58,-10,3324
59,-10,3341
60,-10,3375
61,-10,3400
62,-10,3417
63,-10,3436
64,-10,3455
65,-10,3475
66,-10,3493
67,-10,3510
68,-10,3527
69,-10,3544
70,-10,3563
71,-10,3581
72,-10,3599
73,100,3608
74,-10,3625
75,100,3627
76,-10,3644
77,-10,3661
78,-10,3680
79,-10,3699
80,100,3708
81,-10,3725
82,-10,3743
83,-10,3760
84,-10,3778
85,-10,3797
86,-10,3814
87,-10,3831
88,-10,3848
89,-10,3865
90,-10,3883
91,-10,3903
92,-10,3920
93,-10,3937
94,-10,3955
95,-10,3972
96,-10,3989
97,-10,4014
98,100,4022
99,-10,4039
100,-10,4059
101,-10,4076
102,-10,4095
103,-10,4112
104,-10,4129
105,-10,4148
106,-10,4168
107,-10,4185
108,-10,4205
109,-10,4224
110,-10,4241
111,-10,4258
112,-10,4278
113,-10,4296
114,100,4300
115,-10,4317
116,-10,4337
117,-10,4357
118,-10,4375
119,-10,4394
120,-10,4413
121,-10,4430
122,-10,4448
123,100,4450
124,-10,4467
125,-10,4486
126,-10,4506
127,-10,4526
128,-10,4543
129,-10,4563
130,-10,4579
131,-10,4598
132,-10,4615
133,-10,4635
134,-10,4652
135,-10,4672
136,-10,4693
137,-10,4710
138,-10,4730
139,-10,4747
140,-10,4767
141,-10,4787
142,-10,4806
143,-10,4825
144,-10,4844
145,-10,4865
146,-10,4883
147,-10,4903
148,-10,4922
149,-10,4939
150,-10,4958
151,-10,4977
152,100,4985
153,-10,5003
154,-10,5023
155,-10,5043
156,100,5045
157,-10,5062
158,-10,5082
159,-10,5102
160,-10,5121
161,-10,5139
162,-10,5159
163,-10,5176
164,-10,5195
165,-10,5215
166,-10,5232
167,-10,5252
168,-10,5274
169,-10,5293
170,-10,5313
171,-10,5333
172,-10,5353
173,-10,5374
174,-10,5394
175,-10,5414
176,-10,5435
177,100,5443
178,-10,5460
179,-10,5479
180,-10,5499
181,-10,5519
182,-10,5542
183,-10,5562
184,-10,5582
185,-10,5601
186,-10,5621
187,-10,5641
188,-10,5661
189,-10,5684
190,-10,5704
191,-10,5721
192,-10,5739
193,-10,5758
194,-10,5775
195,-10,5798
196,-10,5818
197,-10,5841
198,-10,5860
199,-10,5879
200,-10,5898
201,-10,5915
202,-10,5935
203,-10,5956
204,-10,5978
205,-10,5998
206,-10,6021
207,-10,6040
208,-10,6067
209,-10,6088
210,-10,6108
211,-10,6125
212,100,6128
213,-10,6147
214,-10,6166
215,100,6169
216,-10,6186
217,-10,6210
218,-10,6233
219,-10,6255
220,-10,6278
221,-10,6295
222,-10,6332
223,100,6335
224,-10,6354
225,-10,6374
226,-10,6391
227,-10,6408
228,-10,6433
229,-10,6468
230,-10,6484
231,-10,6503
232,-10,6519
233,100,6528
234,-10,6552
235,-10,6573
236,-10,6608
237,-10,6629
238,-10,6667
239,-10,6685
240,-10,6716
241,-10,6735
242,-10,6756
243,-10,6783
244,-10,6808
245,-10,6834
246,-10,6869
247,-10,6896
248,-10,6933
249,-10,6956
250,-10,6989
251,-10,7009
252,-10,7044
253,-10,7064
254,-10,7094
255,-10,7114
256,-10,7133
257,-10,7150
258,-10,7173
259,-10,7208
260,-10,7228
261,-10,7248
262,-10,7283
263,-10,7307
264,-10,7342
265,-10,7382
266,-10,7415
267,-10,7448
268,-10,7480
269,-10,7513
270,-10,7532
271,-10,7565
272,-10,7598
273,-10,7630
274,-10,7662
275,-10,7680
276,-10,7712
277,-10,7743
278,-10,7762
279,-10,7794
280,-10,7843
281,100,7847
282,-10,7864
283,-10,7896
284,-10,7915
285,-10,7950
286,-10,7969
287,-10,8001
288,-10,8032
289,-10,8062
290,-10,8093
291,-10,8125
292,-10,8157
293,-10,8189
294,-10,8234
295,-10,8281
296,-10,8319
297,-10,8359
298,-10,8396
299,-10,8461
300,-10,8506
301,-10,8531
302,-10,8584
303,-10,8631
304,100,8639
305,-10,8704
306,-10,8724
307,-10,8762
308,-10,8794
309,-10,8856
310,-10,8929
311,-10,8970
312,-10,9013
313,-10,9057
314,-10,9115
315,-10,9161
316,-10,9195
317,-10,9242
318,-10,9281
319,-10,9340
320,-10,9395
321,-10,9451
322,-10,9497
323,-10,9544
324,-10,9581
325,100,9585
326,-10,9634
327,-10,9653
328,-10,9697
329,-10,9721
330,-10,9762
331,-10,9802
332,-10,9841
333,-10,9872
334,-10,9913
335,-10,9960
336,-10,10000
337,-10,10019
338,-10,10074
339,-10,10098
340,-10,10118
341,-10,10163
342,-10,10228
343,-10,10281
344,-10,10321
345,-10,10360
346,-10,10406
347,-10,10461
348,-10,10518
349,-10,10572
350,-10,10608
351,-10,10635
352,-10,10678
353,-10,10742
354,-10,10805
355,-10,10826
356,-10,10870
357,-10,10915
358,-10,10936
359,-10,10977
360,-10,11227
361,-10,11263
362,-10,11322
363,-10,11381
364,-10,11420
365,-10,11670
366,-10,11727
367,-10,11792
368,-10,11875
369,-10,11940
370,-10,12117
371,-10,12221
372,100,12225
373,-10,12399
374,-10,12442
375,100,12451
376,-10,12701
377,-10,12951
378,-10,12979
379,-10,13090
380,-10,13148
381,-10,13198
382,-10,13256
383,-10,13506
384,-10,13554
385,-10,13581
386,-10,13640
387,-10,13743
388,-10,13793
389,100,13830
390,-10,13951
391,-10,14186
392,-10,14241
393,-10,14292
394,-10,14341
395,-10,14591
396,-10,14648
397,-10,14709
398,-10,14736
399,100,14745
400,-10,14808
401,-10,15058
402,-10,15117
403,-10,15191
404,100,15194
405,-10,15444
406,-10,15496
407,-10,15547
408,-10,15601
409,-10,15651
410,-10,15698
411,-10,15754
412,-10,16004
413,-10,16054
414,-10,16116
415,100,16125
416,-10,16170
417,-10,16233
418,-10,16483
419,-10,16733
420,100,16763
421,-10,17013
422,-10,17058
423,-10,17087
424,-10,17130
425,-10,17248
426,100,17288
427,-10,17318
428,-10,17366
429,-10,17417
430,100,17442
431,-10,17500
432,-10,17528
433,-10,17557
434,-10,17807
435,-10,17840
436,-10,17905
437,100,17964
438,-10,17995
439,-10,18229
440,100,18269
441,-10,18342
442,-10,18404
443,-10,18450
444,100,18463
445,-10,18494
446,-10,18526
447,-10,18604
448,-10,18854
449,-10,18968
450,-10,19218
451,-10,19263
452,-10,19316
453,-10,19378
454,-10,19442
455,-10,19676
456,-10,19740
457,100,19743
458,100,19767
459,-10,19821
460,-10,19868
461,-10,19933
462,-10,19973
463,-10,20027
464,-10,20136
465,-10,20386
466,-10,20429
467,-10,20485
468,-10,20553
469,100,20565
470,-10,20624
471,-10,20667
472,-10,20903
473,-10,20952
474,-10,21007
475,100,21034
476,-10,21284
477,-10,21534
478,-10,21578
479,-10,21620
480,100,21645
481,-10,21690
482,-10,21918
483,-10,21958
484,-10,22208
485,-10,22252
486,100,22276
487,-10,22321
488,-10,22381
489,-10,22631
490,100,22657
491,-10,22702
492,-10,22740
493,-10,22786
494,-10,22833
495,-10,22882
496,-10,23132
497,100,23146
498,-10,23193
499,-10,23242
500,-10,23282
501,-10,23331
502,-10,23410
503,-10,23457
504,-10,23707
505,-10,23750
506,-10,23797
507,-10,23845
508,-10,24095
509,100,24133
510,-10,24383
511,-10,24633
512,-10,24857
513,-10,25083
514,100,25086
515,-10,25251
516,100,25255
517,100,25265
518,100,25284
519,-10,25388
520,-10,25489
521,-10,25739
522,-10,25788
523,100,25878
524,100,25899
525,-10,25980
526,100,26005
527,-10,26122
528,-10,26159
529,-10,26199
530,100,26226
531,-10,26393
532,-10,26433
533,-10,26471
534,-10,26515
535,-10,26557
536,-10,26597
537,-10,26633
