episode,scores,steps
0,-10,44
1,-10,88
2,-10,129
3,100,131
4,-10,220
5,100,313
6,-10,553
7,-10,605
8,-10,654
9,-10,708
10,-10,733
11,-10,783
12,-10,808
13,-10,860
14,-10,906
15,-10,957
16,-10,983
17,-10,1027
18,-10,1078
19,-10,1133
20,-10,1184
21,-10,1212
22,-10,1236
23,-10,1281
24,-10,1308
25,-10,1359
26,-10,1430
27,-10,1484
28,-10,1513
29,-10,1566
30,-10,1615
31,-10,1663
32,-10,1715
33,-10,1740
34,-10,1792
35,-10,1841
36,-10,1868
37,100,1869
38,-10,1914
39,-10,1974
40,-10,2000
41,-10,2079
42,-10,2125
43,-10,2172
44,-10,2255
45,-10,2328
46,-10,2385
47,-10,2437
48,-10,2465
49,-10,2494
50,-10,2523
51,-10,2577
52,-10,2662
53,-10,2693
54,-10,2719
55,-10,2803
56,-10,2828
57,-10,2881
58,-10,2936
59,-10,2986
60,-10,3011
61,-10,3074
62,-10,3132
63,-10,3157
64,-10,3243
65,-10,3299
66,-10,3354
67,-10,3379
68,-10,3426
69,-10,3507
70,-10,3536
71,-10,3591
72,-10,3642
73,-10,3698
74,-10,3746
75,-10,3771
76,-10,3795
77,-10,3820
78,-10,3849
79,-10,3877
80,-10,3930
81,100,3940
82,-10,3999
83,-10,4062
84,-10,4110
85,-10,4165
86,-10,4216
87,-10,4241
88,-10,4299
89,-10,4324
90,-10,4370
91,-10,4398
92,-10,4426
93,-10,4489
94,-10,4515
95,-10,4540
96,-10,4591
97,-10,4632
98,-10,4656
99,-10,4681
100,-10,4707
101,-10,4733
102,-10,4789
103,-10,4834
104,-10,4858
105,-10,4909
106,-10,4937
107,-10,4964
108,-10,5009
109,-10,5035
110,-10,5060
111,-10,5111
112,-10,5137
113,-10,5191
114,-10,5222
115,-10,5248
116,-10,5276
117,-10,5302
118,-10,5329
119,-10,5355
120,-10,5403
121,-10,5429
122,-10,5497
123,-10,5551
124,-10,5598
125,-10,5624
126,-10,5651
127,-10,5677
128,-10,5703
129,-10,5730
130,-10,5756
131,-10,5812
132,-10,5837
133,-10,5890
134,100,5891
135,-10,5916
136,-10,5961
137,-10,5988
138,-10,6012
139,-10,6037
140,-10,6090
141,-10,6116
