episode,scores,steps
0,-10,250
1,-10,500
2,-10,750
3,-10,847
4,-10,1097
5,-10,1347
6,-10,1597
7,-10,1618
8,-10,1868
9,-10,2118
10,-10,2179
11,-10,2194
12,-10,2444
13,-10,2694
14,-10,2813
15,-10,2825
16,-10,2926
17,-10,2940
18,-10,2952
19,100,2965
20,-10,3215
21,-10,3465
22,100,3469
23,-10,3483
24,-10,3497
25,-10,3509
26,-10,3525
27,100,3587
28,100,3612
29,-10,3626
30,-10,3639
31,-10,3652
32,-10,3730
33,-10,3743
34,-10,3993
35,-10,4243
36,-10,4493
37,-10,4743
38,-10,4993
39,-10,5243
40,-10,5493
41,100,5508
42,-10,5758
43,-10,6008
44,100,6016
45,-10,6266
46,-10,6516
47,-10,6766
48,-10,7016
49,-10,7266
50,-10,7516
51,-10,7766
52,100,7772
53,-10,8022
54,-10,8272
55,-10,8522
56,100,8534
57,-10,8784
58,-10,9034
59,100,9035
60,-10,9285
61,-10,9535
62,-10,9785
63,100,9796
64,-10,10046
65,-10,10296
66,-10,10546
67,-10,10796
68,-10,11046
69,100,11244
70,-10,11258
71,-10,11304
72,-10,11381
73,-10,11395
74,-10,11409
75,-10,11425
76,-10,11440
77,-10,11454
78,-10,11467
79,100,11472
80,-10,11484
81,-10,11501
82,-10,11517
83,-10,11534
84,100,11536
85,-10,11557
86,-10,11573
87,-10,11588
88,-10,11603
89,-10,11622
90,-10,11640
91,-10,11890
92,-10,12140
93,-10,12390
94,-10,12640
95,-10,12890
96,100,13080
97,-10,13330
98,100,13416
99,-10,13432
100,-10,13682
101,-10,13932
102,100,13950
103,-10,14048
104,-10,14060
105,-10,14072
106,-10,14086
107,-10,14099
108,-10,14112
109,-10,14126
110,-10,14141
111,-10,14156
112,-10,14171
113,-10,14187
114,-10,14201
115,-10,14214
116,-10,14225
117,-10,14238
118,-10,14248
119,-10,14258
120,-10,14268
121,-10,14279
122,-10,14290
123,-10,14301
124,-10,14316
125,-10,14327
126,-10,14339
127,-10,14351
128,-10,14362
129,-10,14372
130,-10,14383
131,-10,14394
132,-10,14402
133,-10,14410
134,-10,14419
135,-10,14429
136,-10,14438
137,-10,14447
138,100,14448
139,-10,14460
140,-10,14471
141,-10,14481
142,-10,14493
143,-10,14505
144,-10,14523
145,-10,14534
146,-10,14548
147,-10,14560
148,-10,14575
149,-10,14588
150,-10,14603
151,-10,14619
152,-10,14632
153,-10,14643
154,100,14648
155,-10,14658
156,-10,14668
157,100,14671
158,-10,14683
159,-10,14692
160,-10,14705
161,-10,14719
162,-10,14733
163,-10,14748
164,-10,14764
165,-10,14778
166,-10,14794
167,-10,14810
168,100,14820
169,100,14822
170,-10,14879
171,-10,14893
172,-10,14907
173,-10,14922
174,100,14980
175,-10,14993
176,-10,15005
177,-10,15016
178,-10,15027
179,-10,15039
180,-10,15289
181,-10,15539
182,-10,15789
183,-10,16039
184,-10,16289
185,-10,16539
186,-10,16789
187,-10,17039
188,-10,17289
189,-10,17539
190,-10,17789
191,-10,17916
192,-10,17951
193,-10,18011
194,-10,18122
195,-10,18247
196,-10,18357
197,-10,18416
198,-10,18666
199,-10,18828
200,-10,18928
201,-10,19178
202,-10,19428
203,100,19434
204,-10,19684
205,-10,19877
206,-10,19899
207,-10,19914
208,-10,19930
209,-10,19959
210,100,19965
211,-10,19983
212,-10,19997
213,100,20008
214,100,20045
215,-10,20059
216,-10,20115
217,-10,20129
218,-10,20152
219,-10,20171
220,-10,20193
221,-10,20210
222,-10,20279
223,-10,20302
224,-10,20326
225,-10,20343
226,-10,20362
227,100,20371
228,-10,20416
229,-10,20438
230,-10,20455
231,-10,20479
232,-10,20510
233,-10,20537
234,-10,20548
235,-10,20574
236,-10,20601
237,100,20604
238,100,20624
239,-10,20654
240,-10,20714
241,-10,20730
242,100,20747
243,100,20755
244,-10,20770
245,100,20801
246,100,20816
247,100,20821
248,100,20872
249,100,20893
250,-10,20909
251,100,20929
252,100,20936
253,-10,20949
254,-10,20969
255,-10,21002
256,-10,21018
257,-10,21037
258,-10,21069
259,-10,21121
260,-10,21142
261,-10,21158
262,-10,21177
263,100,21188
264,-10,21214
265,-10,21230
266,-10,21245
267,-10,21255
268,-10,21269
269,-10,21284
270,-10,21318
271,-10,21378
272,-10,21461
273,-10,21481
274,-10,21495
275,-10,21522
276,-10,21550
277,-10,21571
278,100,21581
279,100,21587
280,-10,21636
281,-10,21668
282,100,21753
283,100,21827
284,-10,21842
285,100,21851
286,-10,21886
287,-10,21912
288,100,21929
289,100,21939
290,-10,21983
291,100,22008
292,100,22023
293,-10,22049
294,100,22070
295,-10,22128
296,-10,22151
297,-10,22193
298,100,22235
299,-10,22291
300,-10,22386
301,-10,22417
302,-10,22461
303,-10,22540
304,-10,22623
305,100,22672
306,-10,22705
307,-10,22725
308,100,22731
309,-10,22784
310,100,22810
311,100,22820
312,-10,22890
313,100,22915
314,100,22995
315,-10,23026
316,-10,23047
317,-10,23067
318,-10,23111
319,100,23123
320,-10,23146
321,100,23165
322,-10,23222
323,-10,23238
324,-10,23266
325,-10,23294
326,-10,23320
327,100,23388
328,-10,23431
329,100,23478
330,100,23489
331,100,23494
332,-10,23516
333,-10,23549
334,100,23566
335,100,23586
336,100,23604
337,100,23620
338,100,23630
339,100,23642
340,-10,23661
341,100,23703
342,100,23713
343,-10,23730
344,100,23750
345,100,23771
346,100,23786
347,100,23803
348,-10,23826
349,100,23846
350,100,23859
351,100,23875
352,-10,23898
353,100,23913
354,-10,23936
355,100,23943
356,100,23966
357,100,23987
358,100,23993
359,-10,24013
360,-10,24032
361,-10,24062
362,100,24088
363,-10,24111
364,100,24136
365,100,24162
366,-10,24193
367,100,24220
368,-10,24253
369,100,24261
370,100,24271
371,-10,24309
372,100,24323
373,100,24352
374,100,24384
375,100,24406
376,100,24413
377,100,24437
378,100,24476
379,100,24516
380,100,24556
381,100,24571
382,100,24579
383,100,24651
384,100,24671
385,100,24692
386,100,24709
387,100,24719
388,-10,24754
389,100,24792
390,100,24797
391,-10,24834
392,100,24842
393,-10,24864
394,100,24870
395,100,24892
396,100,24905
397,100,24906
398,100,24923
399,-10,24959
400,100,24966
401,100,24975
402,100,25006
403,100,25039
404,100,25060
405,-10,25101
406,-10,25117
407,100,25126
408,100,25149
409,100,25164
410,100,25200
411,100,25220
412,100,25248
413,100,25281
414,100,25295
415,100,25311
416,100,25319
417,-10,25348
418,100,25357
419,-10,25381
420,100,25404
421,100,25439
422,100,25463
423,100,25492
424,100,25508
425,100,25520
426,100,25571
427,100,25588
428,100,25605
429,100,25619
430,100,25639
431,100,25665
432,100,25676
433,-10,25701
434,100,25780
435,100,25815
436,-10,25835
437,100,25859
438,100,25875
439,100,25919
440,100,25928
441,100,25968
442,100,25992
443,-10,26019
444,100,26049
445,100,26078
446,100,26101
447,100,26127
448,100,26141
449,100,26169
450,-10,26212
451,100,26224
452,100,26229
453,100,26260
454,100,26320
455,-10,26346
456,100,26381
457,100,26406
458,-10,26435
459,100,26449
460,100,26497
461,100,26521
462,100,26539
463,100,26573
464,100,26584
465,100,26606
466,100,26629
467,100,26648
468,-10,26679
469,100,26692
470,100,26706
471,100,26743
472,-10,26766
473,-10,26817
474,100,26830
475,100,26841
476,100,26869
477,100,26888
478,-10,26912
479,-10,26933
480,100,26945
481,100,26958
482,100,26989
483,100,27001
484,100,27022
485,100,27075
486,100,27106
487,100,27124
488,100,27162
489,-10,27186
490,100,27197
491,100,27219
492,100,27220
493,100,27232
494,100,27317
495,100,27333
496,100,27347
497,100,27362
498,100,27368
499,100,27388
500,100,27408
501,100,27437
502,100,27447
503,100,27458
504,100,27474
505,100,27492
506,100,27513
507,100,27527
508,100,27547
509,100,27562
510,100,27574
511,100,27575
512,100,27598
513,100,27618
514,100,27654
515,100,27661
516,100,27685
517,100,27705
518,100,27706
519,100,27722
520,100,27730
521,100,27747
522,100,27775
523,100,27802
524,-10,27831
525,100,27839
526,100,27857
527,100,27903
528,100,27931
529,100,27947
530,100,27978
531,100,28006
532,100,28022
533,100,28047
534,100,28065
535,100,28104
536,100,28126
537,100,28136
538,-10,28154
539,100,28175
540,100,28192
541,100,28214
542,100,28231
543,-10,28255
544,100,28265
545,-10,28285
546,100,28302
547,100,28332
548,100,28353
549,100,28366
550,100,28383
551,-10,28486
552,100,28499
553,100,28513
554,-10,28533
555,100,28555
556,100,28560
557,100,28571
558,100,28585
559,-10,28604
560,-10,28632
561,100,28643
562,100,28666
563,-10,28802
564,100,28813
565,100,28823
566,100,28838
567,100,28851
568,100,28875
569,100,28892
570,-10,28946
571,100,28965
572,100,28981
573,100,28988
574,100,29000
575,100,29009
576,100,29032
577,100,29053
578,100,29071
579,100,29091
580,100,29113
581,100,29119
582,100,29130
583,100,29139
584,100,29162
585,100,29172
586,100,29193
587,100,29223
588,100,29268
589,100,29275
590,100,29311
591,100,29369
592,100,29407
593,100,29429
594,100,29455
595,100,29484
596,100,29532
597,100,29549
598,100,29566
599,100,29575
600,100,29592
601,100,29606
602,-10,29635
603,100,29653
604,100,29672
605,-10,29698
606,100,29721
