episode,scores,steps
0,-10,158
1,-10,211
2,-10,239
3,-10,285
4,-10,323
5,-10,351
6,-10,542
7,-10,729
8,-10,744
9,-10,759
10,-10,800
11,-10,968
12,-10,1218
13,-10,1468
14,100,1602
15,-10,1610
16,-10,1620
17,-10,1847
18,-10,2097
19,-10,2347
20,-10,2596
21,-10,2748
22,-10,2762
23,-10,2784
24,-10,2792
25,-10,3042
26,-10,3174
27,-10,3185
28,-10,3212
29,-10,3228
30,-10,3284
31,-10,3324
32,-10,3410
33,-10,3431
34,-10,3549
35,-10,3704
36,-10,3743
37,-10,3759
38,100,3798
39,-10,4048
40,-10,4076
41,-10,4178
42,-10,4236
43,-10,4352
44,-10,4383
45,-10,4490
46,-10,4569
47,-10,4594
48,-10,4685
49,-10,4720
50,-10,4746
51,-10,4758
52,100,4767
53,-10,4779
54,-10,4791
55,-10,4805
56,-10,4820
57,-10,4831
58,-10,4841
59,-10,4852
60,-10,5102
61,-10,5115
62,-10,5128
63,-10,5281
64,-10,5486
65,-10,5645
66,-10,5671
67,100,5688
68,-10,5725
69,-10,5834
70,100,5973
71,-10,6223
72,-10,6343
73,-10,6378
74,-10,6514
75,-10,6764
76,-10,7013
77,100,7060
78,-10,7125
79,100,7242
80,-10,7420
81,-10,7670
82,-10,7742
83,-10,7784
84,-10,8034
85,-10,8262
86,-10,8318
87,-10,8359
88,-10,8454
89,-10,8540
90,-10,8549
91,100,8554
92,-10,8568
93,-10,8584
94,-10,8594
95,-10,8605
96,-10,8615
97,-10,8630
98,-10,8643
99,-10,8655
100,-10,8675
101,-10,8689
102,-10,8702
103,-10,8719
104,-10,8749
105,-10,8759
106,-10,8775
107,-10,8794
108,-10,8805
109,100,8815
110,-10,8845
111,-10,8868
112,-10,8907
113,-10,8935
114,-10,8975
115,-10,8993
116,-10,9087
117,-10,9125
118,-10,9135
119,-10,9146
120,-10,9168
121,100,9178
122,-10,9192
123,-10,9205
124,-10,9215
125,-10,9226
126,-10,9237
127,-10,9267
128,-10,9313
129,-10,9321
130,-10,9331
131,-10,9341
132,-10,9351
