episode,scores,steps
0,-10,162
1,-10,226
2,-10,429
3,-10,461
4,-10,492
5,-10,520
6,-10,550
7,-10,579
8,-10,607
9,-10,637
10,-10,668
11,-10,698
12,-10,728
13,-10,758
14,-10,787
15,-10,817
16,-10,847
17,-10,875
18,-10,903
19,-10,931
20,-10,959
21,-10,989
22,-10,1018
23,-10,1049
24,-10,1077
25,-10,1106
26,-10,1136
27,-10,1165
28,-10,1195
29,-10,1227
30,-10,1255
31,-10,1286
32,-10,1317
33,-10,1349
34,-10,1379
35,-10,1408
36,-10,1438
37,-10,1468
38,-10,1499
39,-10,1530
40,-10,1561
41,-10,1591
42,-10,1622
43,-10,1653
44,-10,1684
45,-10,1715
46,-10,1745
47,-10,1776
48,-10,1805
49,-10,1835
